年代,性別,除脂肪体重下限(kg),除脂肪体重上限(kg)
20代,男性,55,60
30代,男性,53,58
40代,男性,52,57
50代,男性,50,55
60代,男性,48,53
20代,女性,38,43
30代,女性,37,42
40代,女性,36,41
50代,女性,35,40
60代,女性,34,39
