年代,性別,筋肉量下限(kg),筋肉量上限(kg)
20代,男性,50,55
30代,男性,48,54
40代,男性,47,53
50代,男性,45,51
60代,男性,43,49
20代,女性,34,38
20代,女性,34,38
30代,女性,33,37
40代,女性,32,36
50代,女性,30,35
60代,女性,29,34
